,compound,negative,neutral,positive,tweet,tweet_time,user
49,0.0,0.0,1.0,0.0,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",2018-03-26 15:11:57+00:00,BBC
50,0.0,0.0,1.0,0.0,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",2018-03-26 12:58:02+00:00,BBC
51,0.4404,0.0,0.828,0.172,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,2018-03-26 11:48:03+00:00,BBC
52,-0.5106,0.163,0.837,0.0,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",2018-03-26 11:00:05+00:00,BBC
53,-0.128,0.07,0.93,0.0,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",2018-03-26 10:00:07+00:00,BBC
54,0.4588,0.0,0.864,0.136,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,2018-03-26 09:35:06+00:00,BBC
55,0.3182,0.0,0.753,0.247,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",2018-03-26 09:33:01+00:00,BBC
56,0.0,0.0,1.0,0.0,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",2018-03-26 09:04:01+00:00,BBC
57,0.5819,0.0,0.818,0.182,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",2018-03-26 08:29:04+00:00,BBC
58,0.2263,0.09,0.749,0.161,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",2018-03-26 07:30:10+00:00,BBC
59,0.128,0.077,0.821,0.101,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",2018-03-25 19:44:01+00:00,BBC
60,-0.7506,0.286,0.714,0.0,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",2018-03-25 19:15:06+00:00,BBC
61,0.5719,0.0,0.837,0.163,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",2018-03-25 18:40:04+00:00,BBC
62,0.0,0.0,1.0,0.0,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,2018-03-25 18:13:03+00:00,BBC
63,0.5267,0.0,0.815,0.185,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",2018-03-25 17:30:07+00:00,BBC
64,0.4588,0.0,0.833,0.167,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",2018-03-25 15:03:03+00:00,BBC
65,0.0,0.0,1.0,0.0,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",2018-03-25 14:30:02+00:00,BBC
66,0.1779,0.0,0.909,0.091,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",2018-03-25 14:09:03+00:00,BBC
67,0.5574,0.0,0.816,0.184,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",2018-03-25 13:03:04+00:00,BBC
68,0.0,0.0,1.0,0.0,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",2018-03-25 12:03:02+00:00,BBC
69,0.0,0.0,1.0,0.0,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,2018-03-25 10:30:04+00:00,BBC
70,-0.3612,0.161,0.839,0.0,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",2018-03-25 09:30:15+00:00,BBC
71,0.5719,0.0,0.764,0.236,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",2018-03-25 08:43:31+00:00,BBC
72,-0.4019,0.101,0.899,0.0,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",2018-03-25 08:43:26+00:00,BBC
73,0.0,0.0,1.0,0.0,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,2018-03-25 08:43:22+00:00,BBC
74,-0.25,0.153,0.743,0.104,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,2018-03-25 08:00:12+00:00,BBC
75,0.0,0.0,1.0,0.0,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,2018-03-25 07:34:02+00:00,BBC
